"X","gvkey","ticker","compname","year","sic4","salesmillions","employees","breach","breach_this_year","breachtype_this_year","bad_breach","internal_breach","rand_breach","breach_sum","bad_breach_sum","industry","industry_breach_sum","industry_bad_breach_sum","industry_translate","ag_frst_fsh","mining","construction","manuf","trn_comm_elc_gas","wholesale","retail","finance_insurance","services","mean_hits","max_hits","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices","volume_pct","price.open_pct","price.high_pct","price.low_pct","price.close_pct","price.adjusted_pct","ret.adjusted.prices_pct","ret.closing.prices_pct","salesmillions_pct","employees_pct","mean_hits_pct","max_hits_pct"
141,29751,"ALB","ALBEMARLE CORP",2005,2890,1858.22,3.7,0,0,"",0,0,0,0,0,5,0,0,"Agricultural chemicals, nec",0,0,0,1,0,0,0,0,0,1.442307692,2,143639400,19.504999,19.455,16.23,19.025,14.901229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,29751,"ALB","ALBEMARLE CORP",2006,2890,2023.1,3.5599999,0,0,"",0,0,0,0,0,5,0,0,"Agricultural chemicals, nec",0,0,0,1,0,0,0,0,0,1.396226415,2,152605600,19.290001,36.650002,19.415001,20.485001,16.598904,0.113928522,0.076741183,1.062421592,0.988977287,1.883834593,1.19624159,1.076741183,1.113928522,NA,NA,1.088730075,0.962162135,0.968050314,1
143,29751,"ALB","ALBEMARLE CORP",2007,2890,1940.62,4.1300001,0,0,"",0,0,0,0,0,5,2,0,"Agricultural chemicals, nec",0,0,0,1,0,0,0,0,0,1.711538462,3,227604700,36.5,47.759998,35.02,35.990002,29.961128,0.805006403,0.756895301,1.491457063,1.892172012,1.303137664,1.803759886,1.756895301,1.805006403,"7.06588997","9.862961124",0.959230883,1.16011242,1.225831601,1.5
144,29751,"ALB","ALBEMARLE CORP",2008,2890,1973.23,4.1300001,0,0,"",0,0,0,0,0,5,1,0,"Agricultural chemicals, nec",0,0,0,1,0,0,0,0,0,1.942307692,3,240730500,41.139999,45.790001,16.459999,40.779999,34.298313,0.144760404,0.133092435,1.057669284,1.12712326,0.958752155,0.470017105,1.133092435,1.144760404,"0.179825159","0.175839954",1.016803908,1,1.134831461,1
145,29751,"ALB","ALBEMARLE CORP",2009,2890,1609.92,3.95,0,0,"",0,0,0,0,0,5,0,0,"Agricultural chemicals, nec",0,0,0,1,0,0,0,0,0,2.076923077,3,189640200,22.24,37.27,15.81,23.1,19.727453,-0.424827309,-0.433545842,0.787769726,0.54059311,0.813933155,0.960510386,0.566454158,0.575172691,"-2.934692749","-3.257479226",0.815880561,0.956416442,1.069306931,1
146,10451,"AMIC","AMERICAN INDEPENDENCE CORP",2005,6324,73.269997,0.077,0,0,"",0,0,0,0,0,9,0,0,"Hospital and medical service plans",0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,10451,"AMIC","AMERICAN INDEPENDENCE CORP",2006,6324,69.510002,0.059,0,0,"",0,0,0,0,0,9,3,0,"Hospital and medical service plans",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94868302,0.766233766,NA,NA
148,10451,"AMIC","AMERICAN INDEPENDENCE CORP",2007,6324,98.949997,0.052999999,0,0,"",0,0,0,0,0,9,0,0,"Hospital and medical service plans",0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.423536098,0.898305068,NA,NA
149,10451,"AMIC","AMERICAN INDEPENDENCE CORP",2008,6324,90.669998,0.059,0,0,"",0,0,0,0,0,9,0,0,"Hospital and medical service plans",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916321382,1.113207568,NA,NA
150,10451,"AMIC","AMERICAN INDEPENDENCE CORP",2009,6324,83.709999,0.057,0,0,"",0,0,0,0,0,9,2,1,"Hospital and medical service plans",0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923238126,0.966101695,NA,NA
151,164708,"AMP","AMERIPRISE FINANCIAL INC",2005,6211,6598.7998,11.9,0,0,"",0,0,0,0,0,9,0,0,"Security brokers and dealers",0,0,0,0,0,0,0,1,0,90.25,100,161524500,38.02,43.900002,32.389999,37.009998,28.030214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,164708,"AMP","AMERIPRISE FINANCIAL INC",2006,6211,6952.9199,11.858,0,0,"",0,0,0,0,0,9,3,0,"Security brokers and dealers",0,0,0,0,0,0,0,1,0,77.18867925,86,272633600,41.299999,55.299999,40.689999,42.099998,31.981441,0.140963141,0.137530405,1.68787769,1.086270358,1.259681013,1.256251938,1.137530405,1.140963141,NA,NA,1.053664319,0.996470588,0.855276224,0.86
153,164708,"AMP","AMERIPRISE FINANCIAL INC",2007,6211,7400.5298,8.75,0,0,"",0,0,0,0,0,9,0,0,"Security brokers and dealers",0,0,0,0,0,0,0,1,0,68.25,73,376009600,54.68,66.949997,54.099998,55.220001,42.349491,0.324189582,0.311639041,1.379175568,1.323970976,1.210669045,1.329564987,1.311639041,1.324189582,"2.299818099","2.265964692",1.064377255,0.737898465,0.884197018,0.848837209
154,164708,"AMP","AMERIPRISE FINANCIAL INC",2008,6211,5717.8701,11.093,0,0,"",0,0,0,0,0,9,0,0,"Security brokers and dealers",0,0,0,0,0,0,0,1,0,64.92307692,71,768613600,55.18,57.119999,12.37,55.5,42.96299,0.014486573,0.005070608,2.044132916,1.009144111,0.853174034,0.228650655,1.005070608,1.014486573,"0.044685499","0.016270774",0.772629833,1.267771429,0.951253874,0.97260274
