"","ticker","ref.date","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices"
"53","AFL",2007,1114224600,23.01,31.450001,22.82,23.125,13.058603,0.0173561134334745,-0.00687137642258961
"54","AFL",2008,1972861200,31.235001,34.110001,15.19,30.985001,18.038383,0.381340944356759,0.339891935135135
"55","AFL",2009,3610955000,23.174999,23.57,5.745,23.139999,13.953424,-0.22645926744099,-0.253187082356396
"56","AFLYY",2005,2822300,19.09,21.68,14.97,18.940001,17.479296,NA,NA
"57","AFLYY",2006,7612100,22.200001,42.349998,20.09,22.190001,20.71279,0.184989944675117,0.171594499915813
"58","AFLYY",2007,17274000,43.009998,52.060001,32.700001,42.860001,40.650455,0.962577470249059,0.931500634001774
"59","AFLYY",2008,11702600,35.630001,34.599998,11.25,34.599998,33.260357,-0.181796193917141,-0.1927205507998
"60","AFLYY",2009,4700200,13.34,18.75,7.95,13.7,13.7,-0.588098227568634,-0.604046219887065
"61","AGE",2005,54273,22.4785,NA,NA,23.0189,23.0189,NA,NA
"62","AGE",2006,51825,14.5826,NA,NA,14.5826,14.5826,-0.366494489310958,-0.366494489310958
"63","AGE",2007,1446783,17.678699,NA,NA,17.678699,17.678699,0.212314607820279,0.212314607820279
"64","AGE",2008,4266690,0.2,0.265,0.06,0.2,0.2,-0.988686950323663,-0.988686950323663
"65","AGE",2009,79237251,0.1,0.99979,0.08,0.1,0.1,-0.5,-0.5
"66","AGP",2005,159412100,38,46.919998,15.45,37.375,37.375,NA,NA
"67","AGP",2006,163783900,19.49,36.419998,19.76,19.76,19.76,-0.471304347826087,-0.471304347826087
"68","AGP",2007,256835549,36.279999,38.5,23.639999,36.639999,36.639999,0.854250961538461,0.854250961538461
"69","AGP",2008,214144656,36.650002,40.740002,17.82,37,37,0.00982535507165272,0.00982535507165272
"70","AGP",2009,193768110,29.389999,31.700001,21.290001,28.879999,28.879999,-0.219459486486486,-0.219459486486486
"71","AIG",2005,118854100,1322,1462.400024,1007,1320.599976,985.252136,NA,NA
"72","AIG",2006,86392600,1378.800049,1456.199951,1155.199951,1392.400024,1039.280151,0.0548367397804861,0.0543692634445421
"73","AIG",2007,165395800,1437.199951,1453,1026.599976,1443,1077.569946,0.0368426116511102,0.036340114283135
"74","AIG",2008,799395300,1171.800049,1186.400024,27,1126,841.325989,-0.219237700417454,-0.21968121968122
"75","AIG",2009,4663069400,31.4,50.23,7,33.799999,25.279911,-0.969952299904526,-0.969982238898757
"76","AIZ",2005,204079900,30.6,44.5,29.85,30.700001,23.86965,NA,NA
"77","AIZ",2006,158055300,43.650002,56.470001,43.23,44.07,34.553432,0.447588548638124,0.43550483923437
"78","AIZ",2007,292965200,55.450001,69.739998,47.5,55.84,44.118919,0.276831748579996,0.267075107783072
"79","AIZ",2008,414387600,66.989998,70.279999,12.77,65.699997,52.325401,0.186008229258745,0.176575877507163
"80","AIZ",2009,400502100,30,33.040001,16.950001,30.24,24.456308,-0.532611169095484,-0.539726006380183
"81","ALB",2005,143639400,19.504999,19.455,16.23,19.025,14.901229,NA,NA
