"","date","keyword","mean_hits","max_hits"
"143",2005,"ARW",1,1
"144",2006,"AMP",77.188679245283,86
"145",2006,"AMR",27.811320754717,34
"146",2006,"AMTD",1,1
"147",2006,"ANF",4.64150943396226,6
"148",2006,"ARW",1,1
"149",2007,"AMP",68.25,73
"150",2007,"AMR",23.2884615384615,28
"151",2007,"AMTD",1,1
"152",2007,"ANF",4.96153846153846,9
"153",2007,"ARW",1,1
"154",2008,"AMP",64.9230769230769,71
"155",2008,"AMR",19.4230769230769,22
"156",2008,"AMTD",0,0
"157",2008,"ANF",5.38461538461539,8
"158",2008,"ARW",1,1
"159",2009,"AMP",60.8653846153846,66
"160",2009,"AMR",18.0384615384615,22
"161",2009,"ANF",5.42307692307692,7
"162",2009,"ARW",1,1
"163",2005,"ASF",1.34615384615385,2
"164",2005,"AT",78.2115384615385,82
"165",2005,"ATE",1,1
"166",2005,"ATSG",0,0
"167",2005,"AV",10.6538461538462,12
"168",2006,"ASF",1.0188679245283,2
"169",2006,"AT",81.1509433962264,91
"170",2006,"ATE",1,1
"171",2006,"ATSG",0,0
"172",2006,"AV",10.1509433962264,12
"173",2007,"ASF",1,1
"174",2007,"AT",81.1538461538462,86
"175",2007,"ATE",1,1
"176",2007,"ATSG",0,0
"177",2007,"AV",10.9038461538462,12
"178",2008,"ASF",1,1
"179",2008,"AT",88.5192307692308,95
"180",2008,"ATE",1,1
"181",2008,"ATSG",0,0
"182",2008,"AV",11.6923076923077,13
"183",2009,"ASF",1,1
"184",2009,"AT",93.1153846153846,100
"185",2009,"ATE",1.71153846153846,2
"186",2009,"AV",12.3846153846154,14
"187",2005,"AVT",22.3461538461538,56
"188",2005,"AW",73.75,93
"189",2005,"AWI",9.19230769230769,21
"190",2005,"AXP",5.17307692307692,14
"191",2005,"AZO",15.0384615384615,22
"192",2006,"AVT",23.9245283018868,44
"193",2006,"AW",74.622641509434,93
"194",2006,"AWI",8.58490566037736,16
"195",2006,"AXP",4.13207547169811,9
"196",2006,"AZO",12.9245283018868,19
"197",2007,"AVT",23.2115384615385,46
"198",2007,"AW",76.3461538461538,90
"199",2007,"AWI",7.75,17
"200",2007,"AXP",4.44230769230769,8
"201",2007,"AZO",12.1153846153846,17
"202",2008,"AVT",19.4807692307692,24
"203",2008,"AW",84,100
"204",2008,"AWI",7.59615384615385,12
"205",2008,"AXP",6.90384615384615,14
"206",2008,"AZO",13.2115384615385,18
"207",2009,"AVT",18.7884615384615,26
"208",2009,"AW",86.6730769230769,98
"209",2009,"AWI",7.96153846153846,11
"210",2009,"AXP",5.96153846153846,12
"211",2009,"AZO",13.9807692307692,19
"212",2005,"BA",44.1153846153846,52
"213",2005,"BARE",22.2115384615385,25
"214",2005,"BBBB",1,1
"215",2005,"BBOX",1,1
"216",2005,"BBY",1,1
"217",2006,"BA",53.0754716981132,66
"218",2006,"BARE",21.6792452830189,26
"219",2006,"BBBB",1,1
"220",2006,"BBOX",1,1
"221",2006,"BBY",1,1
"222",2007,"BA",56.9038461538462,63
"223",2007,"BARE",20.3461538461538,24
"224",2007,"BBBB",1,1
"225",2007,"BBOX",1,1
"226",2007,"BBY",1,1
"227",2008,"BA",62.0576923076923,73
"228",2008,"BARE",19.3461538461538,22
"229",2008,"BBBB",1,1
"230",2008,"BBOX",1,1
"231",2008,"BBY",1,1
"232",2009,"BA",72.7884615384615,100
"233",2009,"BARE",17.75,20
"234",2009,"BBBB",1,1
"235",2009,"BBOX",2.03846153846154,3
"236",2009,"BBY",1,1
"237",2005,"BC",15.1923076923077,19
"238",2005,"BGFV",0,0
"239",2005,"BID",2.07692307692308,6
"240",2005,"BIG",73.8269230769231,97
"241",2006,"BC",14.7169811320755,17
"242",2006,"BGFV",0,0
"243",2006,"BID",1.86792452830189,2
"244",2006,"BIG",73.8490566037736,100
"245",2007,"BC",13.7115384615385,17
"246",2007,"BGFV",0,0
"247",2007,"BID",1.80769230769231,2
"248",2007,"BIG",72.75,93
"249",2008,"BC",13.4615384615385,18
"250",2008,"BGFV",0,0
"251",2008,"BID",1.82692307692308,2
"252",2008,"BIG",71.5192307692308,81
"253",2009,"BC",12.4807692307692,15
"254",2009,"BGFV",0,0
"255",2009,"BID",1.92307692307692,2
"256",2009,"BIG",68.2115384615385,81
"257",2005,"BJ",25.4423076923077,30
"258",2005,"BLK",2.5,3
"259",2005,"BLKB",0.888888888888889,1
"260",2005,"BMY",1,1
"261",2005,"BOT",80.2115384615385,100
"262",2006,"BJ",24.7358490566038,30
"263",2006,"BLK",2.33962264150943,3
"264",2006,"BLKB",1,1
"265",2006,"BMY",1,1
"266",2006,"BOT",69.6415094339623,81
"267",2007,"BJ",25.1730769230769,62
"268",2007,"BLK",2.59615384615385,4
"269",2007,"BLKB",1,1
"270",2007,"BMY",1.02631578947368,2
"271",2007,"BOT",67.4615384615385,81
"272",2008,"BJ",26.6730769230769,42
"273",2008,"BLK",3.19230769230769,4
"274",2008,"BLKB",1,1
"275",2008,"BMY",1,1
"276",2008,"BOT",69,86
"277",2009,"BJ",30.9423076923077,78
"278",2009,"BLK",4.09615384615385,5
"279",2009,"BLKB",1,1
"280",2009,"BMY",1,1
"281",2009,"BOT",75.4230769230769,87
"282",2005,"BRK3",0,0
"283",2005,"BRLI",0.0227272727272727,1
"284",2005,"BSG",6,9
"285",2005,"BUD",64.6923076923077,100
"286",2005,"BZLFY",0,0
"287",2006,"BRK3",0,0
"288",2006,"BRLI",0,0
"289",2006,"BSG",8.49056603773585,15
"290",2006,"BUD",60.7358490566038,91
"291",2006,"BZLFY",0,0
"292",2007,"BRK3",0,0
"293",2007,"BRLI",0,0
"294",2007,"BSG",9.84615384615385,20
"295",2007,"BUD",59.9807692307692,90
"296",2007,"BZLFY",0,0
"297",2008,"BRK3",0,0
"298",2008,"BRLI",0,0
"299",2008,"BSG",11.1153846153846,21
"300",2008,"BUD",58.25,92
"301",2008,"BZLFY",0,0
"302",2009,"BRK3",0,0
"303",2009,"BRLI",0,0
"304",2009,"BSG",12.5769230769231,35
"305",2009,"BUD",58.8653846153846,75
"306",2009,"BZLFY",0,0
"307",2005,"C",73.0576923076923,80
"308",2005,"CA",64.8269230769231,75
"309",2005,"CACH",1,1
"310",2005,"CAJ",1,1
"311",2006,"C",68.7735849056604,73
"312",2006,"CA",73.0754716981132,86
"313",2006,"CACH",1,1
"314",2007,"C",68.4038461538462,85
"315",2007,"CA",77.7884615384615,90
"316",2007,"CACH",1.42222222222222,3
"317",2008,"C",68.4230769230769,75
"318",2008,"CA",85.6923076923077,99
"319",2008,"CACH",3.67307692307692,6
"320",2009,"C",69.0961538461538,75
"321",2009,"CA",88.8269230769231,100
"322",2009,"CACH",7.5,11
"323",2005,"CAL",4.88461538461539,6
"324",2005,"CAR",86.2115384615385,100
"325",2005,"CAT",18.3653846153846,20
"326",2005,"CB",2,2
"327",2005,"CBRL",0,0
"328",2006,"CAL",4.81132075471698,5
"329",2006,"CAR",80.3207547169811,93
"330",2006,"CAT",18.4905660377358,21
"331",2006,"CB",2,2
"332",2006,"CBRL",0,0
"333",2007,"CAL",4.57692307692308,6
"334",2007,"CAR",75.4423076923077,85
"335",2007,"CAT",17.3269230769231,22
"336",2007,"CB",2,2
"337",2007,"CBRL",0,0
"338",2008,"CAL",4.69230769230769,5
"339",2008,"CAR",71.8269230769231,80
"340",2008,"CAT",17.1153846153846,20
"341",2008,"CB",2.01923076923077,3
"342",2008,"CBRL",0,0
"343",2009,"CAL",4.19230769230769,5
"344",2009,"CAR",69.9807692307692,81
"345",2009,"CAT",16.9038461538462,19
"346",2009,"CB",2.05769230769231,3
"347",2009,"CBRL",0,0
"348",2005,"CBS",39.6346153846154,81
"349",2005,"CBT",4.05769230769231,5
"350",2005,"CCH",1.63461538461538,3
"351",2005,"CCRT",0,0
"352",2005,"CELG",0.4,1
"353",2006,"CBS",41.7924528301887,100
