gvkey,ticker,compname,year,sic4,salesmillions,employees,breach,breachtype
1013,ADCT,"ADC Telecommunications, Inc.",2006,3661,1094.96,8.6000004,0,
1013,ADCT,"ADC Telecommunications, Inc.",2007,3661,1098.33,9.0500002,1,StolenLaptop
1013,ADCT,"ADC Telecommunications, Inc.",2008,3661,1164.85,10.6,0,
1013,ADCT,"ADC Telecommunications, Inc.",2009,3661,800.15002,9.0500002,0,
1013,ADCT,"ADC Telecommunications, Inc.",2010,3661,,9.3000002,0,
1891,ADP,"Automatic Data Processing, Inc.",2005,7374,7493.8301,44,0,
1891,ADP,"Automatic Data Processing, Inc.",2006,7374,7586.2798,46,1,LostTape
1891,ADP,"Automatic Data Processing, Inc.",2007,7374,6479.3101,46,0,
1891,ADP,"Automatic Data Processing, Inc.",2008,7374,7019.5698,47,0,
1891,ADP,"Automatic Data Processing, Inc.",2009,7374,7118.48,45,0,
1891,ADP,"Automatic Data Processing, Inc.",2010,7374,8927,47,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2005,6141,379.53,0.87800002,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2006,6141,433.67001,0.95200002,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2007,6141,466.95999,0.91399997,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2008,6141,391.38,0.84100002,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2009,6141,,,0,
12108,ADVBQ,ADVANTA CORP  -CL B,2010,6141,,,0,
61557,ADVS,"Advent Software, Inc.",2005,7372,148.75,0.736,0,
61557,ADVS,"Advent Software, Inc.",2006,7372,157.25,0.824,0,
61557,ADVS,"Advent Software, Inc.",2007,7372,178.85001,0.94599998,1,StolenLaptop
61557,ADVS,"Advent Software, Inc.",2008,7372,211.82001,1.068,0,
61557,ADVS,"Advent Software, Inc.",2009,7372,208.33,0.99800003,0,
61557,ADVS,"Advent Software, Inc.",2010,7372,,1.051,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2005,6141,555.53998,6.5,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2006,6141,574.25,7,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2007,6141,589.40997,7,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2008,6141,676.43597,6.6999998,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2009,6141,647.67603,6.0999999,0,
161067,AEA,ADVANCE AMER CASH ADVANCE CT,2010,6141,600.23297,5.8390002,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2005,5651,2036.22,23,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2006,5651,2386.8899,27.6,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2007,5651,2538.0801,38.700001,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2008,5651,2390.54,37.5,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2009,5651,2400.78,39.400002,0,
30059,AEO,AMERN EAGLE OUTFITTERS INC,2010,5651,,39.900002,0,
1177,AET,"Aetna, Inc.",2005,6324,19831.57,28.200001,0,
1177,AET,"Aetna, Inc.",2006,6324,21478.619,30,1,StolenTape
1177,AET,"Aetna, Inc.",2007,6324,22926.439,35.200001,0,
1177,AET,"Aetna, Inc.",2008,6324,24754.811,35.5,0,
1177,AET,"Aetna, Inc.",2009,6324,27884.279,35,1,Web
1177,AET,"Aetna, Inc.",2010,6324,34250,34,1,Papers
1449,AFL,"AFLAC, Inc.",2005,6321,12664.15,6.9699998,0,
1449,AFL,"AFLAC, Inc.",2006,6321,12484.5,7.4109998,1,StolenLaptop
1449,AFL,"AFLAC, Inc.",2007,6321,12786.66,8.0480003,0,
1449,AFL,"AFLAC, Inc.",2008,6321,13240.12,7.9489999,0,
1449,AFL,"AFLAC, Inc.",2009,6321,14640.61,8.0570002,0,
1449,AFL,"AFLAC, Inc.",2010,6321,20730,7.9190001,0,
101475,AFLYY,AIR FRANCE - KLM,2005,4512,22960.51,102.422,0,
101475,AFLYY,AIR FRANCE - KLM,2006,4512,26362.301,103.05,0,
101475,AFLYY,AIR FRANCE - KLM,2007,4512,31664.279,104.659,0,
101475,AFLYY,AIR FRANCE - KLM,2008,4512,25428.689,106.933,0,
101475,AFLYY,AIR FRANCE - KLM,2009,4512,22802.051,104.721,0,
101475,AFLYY,AIR FRANCE - KLM,2010,4512,31.629999,102.012,0,
4230,AGE,EDWARDS (A G) INC,2005,6211,2425.4099,15.48,0,
4230,AGE,EDWARDS (A G) INC,2006,6211,2670.1899,15.338,0,
4230,AGE,EDWARDS (A G) INC,2007,6211,,,0,
4230,AGE,EDWARDS (A G) INC,2008,6211,,,0,
4230,AGE,EDWARDS (A G) INC,2009,6211,,,0,
4230,AGE,EDWARDS (A G) INC,2010,6211,,,0,
145367,AGP,AMERIGROUP CORP,2005,6324,2054.3301,2.7,0,
145367,AGP,AMERIGROUP CORP,2006,6324,2421.6399,3.5,0,
145367,AGP,AMERIGROUP CORP,2007,6324,3277.47,4.1999998,0,
145367,AGP,AMERIGROUP CORP,2008,6324,3611.97,4.0999999,0,
145367,AGP,AMERIGROUP CORP,2009,6324,4160.2998,4,0,
145367,AGP,AMERIGROUP CORP,2010,6324,,4.5,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2005,5411,46459.762,168.56799,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2006,5411,50581.68,163.866,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2007,5411,34149.559,118.715,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2008,5411,28635.311,118.242,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2009,5411,32129.641,117.845,0,
23667,AHONY,KONINKLIJKE AHOLD NV,2010,5411,,121.751,0,
1487,AIG,"American International Group, Inc.",2005,6311,95525.594,97,0,
1487,AIG,"American International Group, Inc.",2006,6311,96938.523,106,1,StolenLaptop
1487,AIG,"American International Group, Inc.",2007,6311,91582.477,116,0,
1487,AIG,"American International Group, Inc.",2008,6311,6448.1001,116,0,
1487,AIG,"American International Group, Inc.",2009,6331,78080.047,96,1,Stolen computer
1487,AIG,"American International Group, Inc.",2010,6331,70685,63,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2005,8071,379.82999,2.092,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2006,8071,389.31,1.955,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2007,8071,369.59,2.0699999,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2008,8071,396.57999,2.2579999,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2009,8071,405.82001,1.956,0,
13657,AIQ,"Alliance HealthCare Services, Inc.",2010,8071,,1.952,1,Lost Media
157057,AIZ,ASSURANT INC,2005,6324,6562.8198,12,0,
157057,AIZ,ASSURANT INC,2006,6324,6786.0498,13.4,0,
157057,AIZ,ASSURANT INC,2007,6324,6963.7598,14,0,
157057,AIZ,ASSURANT INC,2008,6324,6854.8198,15,0,
157057,AIZ,ASSURANT INC,2009,6351,6855.3101,15,0,
157057,AIZ,ASSURANT INC,2010,6351,,14,0,
29751,ALB,ALBEMARLE CORP,2005,2890,1858.22,3.7,0,
29751,ALB,ALBEMARLE CORP,2006,2890,2023.1,3.5599999,0,
29751,ALB,ALBEMARLE CORP,2007,2890,1940.62,4.1300001,0,
29751,ALB,ALBEMARLE CORP,2008,2890,1973.23,4.1300001,0,
29751,ALB,ALBEMARLE CORP,2009,2890,1609.92,3.95,0,
29751,ALB,ALBEMARLE CORP,2010,2890,2362.7,4.02,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2005,6324,73.269997,0.077,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2006,6324,69.510002,0.059,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2007,6324,98.949997,0.052999999,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2008,6324,90.669998,0.059,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2009,6324,83.709999,0.057,0,
10451,AMIC,AMERICAN INDEPENDENCE CORP,2010,6324,,0.052000001,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2005,6211,6598.7998,11.9,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2006,6211,6952.9199,11.858,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2007,6211,7400.5298,8.75,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2008,6211,5717.8701,11.093,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2009,6211,6332.46,9.7930002,0,
164708,AMP,AMERIPRISE FINANCIAL INC,2010,6211,,10.472,0,
1045,AMR,AMR Corporation,2005,4512,18262.189,88.400002,0,
1045,AMR,AMR Corporation,2006,4512,22563,86.599998,0,
1045,AMR,AMR Corporation,2007,4512,22935,85.5,0,
1045,AMR,AMR Corporation,2008,4512,23766,84.099998,0,
1045,AMR,AMR Corporation,2009,4512,19917,78.900002,0,
1045,AMR,AMR Corporation,2010,4512,22170,78.25,1,Stolen computer
64552,AMTD,TD Ameritrade Holding Corporation,2005,6211,1009.17,2.052,1,LostTape
64552,AMTD,TD Ameritrade Holding Corporation,2006,6211,1827.36,3.947,1,StolenLaptop
64552,AMTD,TD AMERITRADE Holding Corporation,2007,6211,2186.6899,3.882,1,Hack
64552,AMTD,TD AMERITRADE Holding Corporation,2008,6211,2229.0601,4.6599998,0,
64552,AMTD,TD AMERITRADE Holding Corporation,2009,6211,1945.25,5.1960001,0,
64552,AMTD,TD AMERITRADE Holding Corporation,2010,6211,,5.2399998,0,
63643,ANF,ABERCROMBIE & FITCH  -CL A,2005,5651,2455.3401,76.099998,0,
63643,ANF,ABERCROMBIE & FITCH  -CL A,2006,5651,2834.26,86.400002,0,
63643,ANF,ABERCROMBIE & FITCH  -CL A,2007,5651,3114.9199,99,0,
