gvkey,ticker,compname,year,sic4,salesmillions,employees,breach,breachtype
163993,BOT,CBOT HOLDINGS INC,2009,6200,,,0,
163993,BOT,CBOT HOLDINGS INC,2010,6200,,,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2005,4011,11450.9,40,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2006,4011,12799.69,41,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2007,4011,13126.41,40,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2008,4011,14411.05,40,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2009,4011,11304.99,35,0,
2490,BRK3,BURLINGTON NORTHERN SANTA FE,2010,4011,,38,0,
12576,BRLI,BIO REFERENCE LABS,2005,8071,144.50999,1.276,0,
12576,BRLI,BIO REFERENCE LABS,2006,8071,164.97,1.551,0,
12576,BRLI,BIO REFERENCE LABS,2007,8071,208.03,1.648,0,
12576,BRLI,BIO REFERENCE LABS,2008,8071,240.8,1.9069999,0,
12576,BRLI,BIO REFERENCE LABS,2009,8071,291.14001,2.174,0,
12576,BRLI,BIO REFERENCE LABS,2010,8071,458.01999,2.424,0,
99990004,BSG,"BISYS Group, Inc. (The)",2005,6200,,,0,
99990004,BSG,"BISYS Group, Inc. (The)",2006,6200,,,1,LostTape
99990004,BSG,"BISYS Group, Inc. (The)",2007,6200,,,0,
99990004,BSG,"BISYS Group, Inc. (The)",2008,6200,,,0,
99990004,BSG,"BISYS Group, Inc. (The)",2009,6200,,,0,
99990004,BSG,"BISYS Group, Inc. (The)",2010,6200,,,0,
241637,BUD,"Anheuser-Busch Companies, Inc.",2005,2082,17253.5,,0,
241637,BUD,"Anheuser-Busch Companies, Inc.",2006,2082,17957.801,,0,
241637,BUD,"Anheuser-Busch Companies, Inc.",2007,2082,16393.471,88.690002,0,
241637,BUD,"Anheuser-Busch Companies, Inc.",2008,2082,18801.23,119.874,1,StolenLaptop
241637,BUD,"Anheuser-Busch Companies, Inc.",2009,2082,29509.221,116.489,0,
241637,BUD,"Anheuser-Busch Companies, Inc.",2010,2082,36297,114.313,0,
100095,BZLFY,BUNZL PLC,2005,5110,4431.9302,10.526,0,
100095,BZLFY,BUNZL PLC,2006,5110,5576.3501,11.034,0,
100095,BZLFY,BUNZL PLC,2007,5110,5904.1099,12.835,0,
100095,BZLFY,BUNZL PLC,2008,5110,4884.2998,14.032,0,
100095,BZLFY,BUNZL PLC,2009,5110,6033.46,13.214,0,
100095,BZLFY,BUNZL PLC,2010,5110,,12.368,0,
3243,C,Citigroup Inc.,2005,6199,105586.02,307,1,LostTape
3243,C,Citigroup Inc.,2006,6199,125481.35,337,1,LostLaptop
3243,C,Citigroup Inc.,2007,6199,130693.4,387,1,StolenLaptop
3243,C,Citigroup Inc.,2008,6199,83664.563,326.89999,1,Stolen Laptop
3243,C,Citigroup Inc.,2009,6199,83618.547,269,1,Unintended Disclosure
3243,C,Citigroup Inc.,2010,6199,,260,1,SnailMail
3310,CA,CA INC,2005,7372,3347.01,16,0,
3310,CA,CA INC,2006,7372,3367.98,14.5,0,
3310,CA,CA INC,2007,7372,3552.8201,13.7,0,
3310,CA,CA INC,2008,7372,3416.01,13.2,0,
3310,CA,CA INC,2009,7372,3494.5801,13.8,0,
3310,CA,CA INC,2010,7372,,13.4,0,
2595,CACH,CACHE INC,2005,5621,234.84,2.7,0,
2595,CACH,CACHE INC,2006,5621,238.31,2.8599999,0,
2595,CACH,CACHE INC,2007,5621,227.99001,2.8599999,0,
2595,CACH,CACHE INC,2008,5621,212.53,2.526,0,
2595,CACH,CACHE INC,2009,5621,176.42999,2.25,0,
2595,CACH,CACHE INC,2010,5621,,2.204,0,
2751,CAH,"Cardinal Health, Inc.",2005,5122,66050.297,55,0,
2751,CAH,"Cardinal Health, Inc.",2006,5122,69498.07,55,0,
2751,CAH,"Cardinal Health, Inc.",2007,5122,72146.227,43.5,0,
2751,CAH,"Cardinal Health, Inc.",2008,5122,72856.203,47.599998,0,
2751,CAH,"Cardinal Health, Inc.",2009,5122,79888.273,46.5,0,
2751,CAH,"Cardinal Health, Inc.",2010,5122,,31.200001,1,Dishonest employee
2721,CAJ,CANON INC,2005,3577,28052.09,102.567,0,
2721,CAJ,CANON INC,2006,3577,29836.68,118.499,0,
2721,CAJ,CANON INC,2007,3577,32654.08,131.35201,0,
2721,CAJ,CANON INC,2008,3577,35984.262,166.98,0,
2721,CAJ,CANON INC,2009,3577,27678.74,168.879,0,
2721,CAJ,CANON INC,2010,3577,,197.386,0,
10484,CAL,"Continental Airlines, Inc.",2005,4512,9882.3203,42.200001,0,
10484,CAL,"Continental Airlines, Inc.",2006,4512,11213.5,43.77,0,
10484,CAL,"Continental Airlines, Inc.",2007,4512,11822.24,45.610001,0,
10484,CAL,"Continental Airlines, Inc.",2008,4512,12189.97,42.490002,0,
10484,CAL,"Continental Airlines, Inc.",2009,4512,10104.01,41.299999,1,StolenLaptop
10484,CAL,"Continental Airlines, Inc.",2010,4512,,,0,
3278,CAR,AVIS BUDGET GROUP INC,2005,7510,16063.18,84.800003,0,
3278,CAR,AVIS BUDGET GROUP INC,2006,7510,4859.3501,30,0,
3278,CAR,AVIS BUDGET GROUP INC,2007,7510,4972.4502,30,0,
3278,CAR,AVIS BUDGET GROUP INC,2008,7510,4786.0898,26,0,
3278,CAR,AVIS BUDGET GROUP INC,2009,7510,4119.1499,22.700001,0,
3278,CAR,AVIS BUDGET GROUP INC,2010,7510,,21,0,
2817,CAT,Caterpillar Inc.,2005,3531,32040.84,85.115997,0,
2817,CAT,Caterpillar Inc.,2006,3531,35462.441,94.593002,0,
2817,CAT,Caterpillar Inc.,2007,3531,37345.719,101.333,1,StolenLaptop
2817,CAT,Caterpillar Inc.,2008,3531,41049.66,112.887,0,
2817,CAT,Caterpillar Inc.,2009,3531,26007.42,93.813004,0,
2817,CAT,Caterpillar Inc.,2010,3531,42588,104.49,0,
3024,CB,CHUBB CORP,2005,6331,12390.91,10.8,0,
3024,CB,CHUBB CORP,2006,6331,11931.85,10.8,0,
3024,CB,CHUBB CORP,2007,6331,11689.33,10.6,0,
3024,CB,CHUBB CORP,2008,6331,10548.75,10.4,0,
3024,CB,CHUBB CORP,2009,6331,10417.9,10.2,0,
3024,CB,CHUBB CORP,2010,6331,,10.1,0,
31752,CBIZ,"CBIZ, Inc.",2005,8721,559.26898,4.6999998,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2005,5812,2263.8601,75.028999,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2006,5812,2257.5601,74.030998,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2007,5812,1953.41,64,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2008,5812,1907.17,65,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2009,5812,1900.45,66,0,
3570,CBRL,CRACKER BARREL OLD CTRY STOR,2010,5812,,67,0,
13714,CBS,CBS CORP,2005,4833,12817.04,32.16,0,
13714,CBS,CBS CORP,2006,4833,12231.84,23.653999,0,
13714,CBS,CBS CORP,2007,4833,11690.08,23.969999,0,
13714,CBS,CBS CORP,2008,4833,11157.73,25.92,0,
13714,CBS,CBS CORP,2009,4888,10448.08,25.58,0,
13714,CBS,CBS CORP,2010,4888,,25.379999,0,
2593,CBT,Cabot Corporation,2005,2890,1873.66,4.4000001,0,
2593,CBT,Cabot Corporation,2006,2890,2171.29,4.3000002,0,
2593,CBT,Cabot Corporation,2007,2890,2173.0601,4.3000002,0,
2593,CBT,Cabot Corporation,2008,2801,2552.21,4.3000002,0,
2593,CBT,Cabot Corporation,2009,2890,1800.67,3.95,0,
2593,CBT,Cabot Corporation,2010,2890,2893,3.9000001,0,
31752,CBZ,"CBIZ, Inc.",2006,8721,513.46002,5.1999998,0,
31752,CBZ,"CBIZ, Inc.",2007,8721,534.87,5.5,0,
31752,CBZ,"CBIZ, Inc.",2008,8721,563.28003,6,0,
31752,CBZ,"CBIZ, Inc.",2009,8721,593.83002,5.6999998,1,StolenComputer
31752,CBZ,"CBIZ, Inc.",2010,8721,730.401,5.25,0,
99990013,CC,"Circuit City Stores, Inc.",2005,5731,10414,,0,
99990013,CC,"Circuit City Stores, Inc.",2006,5731,11514,,1,Disposal_Tape
99990013,CC,"Circuit City Stores, Inc.",2007,5731,12430,,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2005,2086,4838.4102,39.220001,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2006,2086,6055.7798,40.606998,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2007,2086,7838.5601,45.5,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2008,2086,7771.3398,47.640999,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2009,2086,7528.8599,44.230999,0,
221261,CCH,COCA-COLA HELLENIC BOTTLING,2010,2086,,42.505001,0,
119714,CCRT,CompuCredit Corporation,2005,6141,796.15997,3.4000001,0,
119714,CCRT,CompuCredit Corporation,2006,6141,1049.73,3.5999999,0,
119714,CCRT,CompuCredit Corporation,2007,6141,1440.03,4.2579999,0,
119714,CCRT,CompuCredit Corporation,2008,6141,338.32999,3.5239999,0,
119714,CCRT,CompuCredit Corporation,2009,6141,,2.5610001,1,Web
119714,CCRT,CompuCredit Corporation,2010,6141,,1.623,0,
99990013,CCTYQ,"Circuit City Stores, Inc.",2008,5731,11744,,0,
99990013,CCTYQ,"Circuit City Stores, Inc.",2009,5731,,,0,
99990013,CCTYQ,"Circuit City Stores, Inc.",2010,5731,,,0,
13599,CELG,Celgene Corporation,2005,2834,473.42999,0.94400001,0,
13599,CELG,Celgene Corporation,2006,2834,767.78998,1.2869999,0,
13599,CELG,Celgene Corporation,2007,2834,1167.79,1.6849999,1,StolenDrive
13599,CELG,Celgene Corporation,2008,2834,1803.41,2.441,0,
13599,CELG,Celgene Corporation,2009,2834,2159.4399,2.813,0,
13599,CELG,Celgene Corporation,2010,2834,,4.1820002,0,
99990007,CEN,Ceridian Corporation,2005,8721,,,0,
99990007,CEN,Ceridian Corporation,2006,8721,,,0,
99990007,CEN,Ceridian Corporation,2007,8721,,,1,Hack/Web
99990007,CEN,Ceridian Corporation,2008,8721,,,0,
99990007,CEN,Ceridian Corporation,2009,8721,,,0,
99990007,CEN,Ceridian Corporation,2010,8721,,,1,Hack/Web
99990008,CFC,Countrywide Financial Corporation,2005,6162,,,0,
99990008,CFC,Countrywide Financial Corporation,2006,6162,,,0,
99990008,CFC,Countrywide Financial Corporation,2007,6162,,,0,
99990008,CFC,Countrywide Financial Corporation,2008,6162,,,1,StolenLaptop
99990008,CFC,Countrywide Financial Corporation,2009,6162,,,0,
99990008,CFC,Countrywide Financial Corporation,2010,6162,,,0,
65662,CHL,CHINA MOBILE LTD,2005,4812,26553.77,99.103996,0,
65662,CHL,CHINA MOBILE LTD,2006,4812,32327.23,111.998,0,
65662,CHL,CHINA MOBILE LTD,2007,4812,40649.078,127.959,0,
65662,CHL,CHINA MOBILE LTD,2008,4812,48339.73,138.368,0,
65662,CHL,CHINA MOBILE LTD,2009,4812,53172.039,145.95399,0,
65662,CHL,CHINA MOBILE LTD,2010,4812,,164.336,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2005,7372,73.82,0.28,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2006,7372,83.309998,0.32499999,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2007,7372,103.46,0.285,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2008,7372,90.349998,0.27200001,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2009,7372,62.189999,0.222,0,
130040,CHRD,CHORDIANT SOFTWARE INC,2010,7372,,,0,
126136,CHTR,"Charter Communications, Inc.",2005,4841,4632.5601,17.200001,0,
126136,CHTR,"Charter Communications, Inc.",2006,4841,4701.3301,15.5,0,
126136,CHTR,"Charter Communications, Inc.",2007,4841,4985.7402,16.5,0,
126136,CHTR,"Charter Communications, Inc.",2008,4841,5182,16.6,1,StolenLaptop
126136,CHTR,"Charter Communications, Inc.",2009,4841,5422.8999,16.700001,0,
126136,CHTR,"Charter Communications, Inc.",2010,4841,7059,16.6,0,
2547,CI,CIGNA Corporation,2005,6324,14426.71,28,0,
2547,CI,CIGNA Corporation,2006,6324,14133.9,27.1,1,StolenLaptop
2547,CI,CIGNA Corporation,2007,6324,14639.08,26.6,0,
2547,CI,CIGNA Corporation,2008,6324,15277.25,30.299999,0,
2547,CI,CIGNA Corporation,2009,6324,14782.71,29.299999,0,
2547,CI,CIGNA Corporation,2010,6324,21253,30.6,0,
61355,CKFR,CheckFree Corporation,2005,7389,668.20001,3.05,0,
61355,CKFR,CheckFree Corporation,2006,7389,751.15997,3.45,0,
61355,CKFR,CheckFree Corporation,2007,7389,818.25,4.3000002,0,
61355,CKFR,CheckFree Corporation,2008,7389,,,0,
61355,CKFR,CheckFree Corporation,2009,7389,,,1,Hack
61355,CKFR,CheckFree Corporation,2010,7389,,,0,
6346,CKR,CKE RESTAURANTS INC,2005,5812,1338.76,29,0,
6346,CKR,CKE RESTAURANTS INC,2006,5812,1356.77,30,0,
6346,CKR,CKE RESTAURANTS INC,2007,5812,1274.79,26,0,
6346,CKR,CKE RESTAURANTS INC,2008,5812,1185.89,23,0,
6346,CKR,CKE RESTAURANTS INC,2009,5812,1138.95,21.299999,0,
6346,CKR,CKE RESTAURANTS INC,2010,5812,,20.299999,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2005,7372,21.219999,0.18000001,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2006,7372,27.700001,0.19400001,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2007,7372,33.240002,0.22,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2008,7372,41.799999,0.226,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2009,7372,49.07,0.29499999,0,
137110,CKSW,CLICKSOFTWARE TECHNOLOGIES,2010,7372,,0.31799999,0,
12796,CLGX,CORELOGIC INC,2005,7370,7053.23,35.444,0,
12796,CLGX,CORELOGIC INC,2006,7370,7226.0098,39.669998,0,
12796,CLGX,CORELOGIC INC,2007,7370,6768.2998,37.354,0,
12796,CLGX,CORELOGIC INC,2008,7370,4934.0498,31.410999,0,
12796,CLGX,CORELOGIC INC,2009,7370,4721.5601,30.922001,0,
12796,CLGX,CORELOGIC INC,2010,7370,,10.084,0,
3226,CMCSA,Comcast Corporation,2005,4841,19622.689,80,0,
3226,CMCSA,Comcast Corporation,2006,4841,21325.119,90,0,
3226,CMCSA,Comcast Corporation,2007,4841,25663.859,100,0,
3226,CMCSA,Comcast Corporation,2008,4841,27398.43,100,0,
3226,CMCSA,Comcast Corporation,2009,4841,28704.82,107,1,FraudSe
3226,CMCSA,Comcast Corporation,2010,4841,,102,0,
149070,CME,CME GROUP INC,2005,6200,861.70001,1.321,0,
149070,CME,CME GROUP INC,2006,6200,1058.97,1.4299999,0,
149070,CME,CME GROUP INC,2007,6200,1620.37,1.97,0,
149070,CME,CME GROUP INC,2008,6200,2115.3899,2.3,0,
149070,CME,CME GROUP INC,2009,6200,2122.6799,2.26,0,
149070,CME,CME GROUP INC,2010,6200,,2.5699999,0,
99990009,CMX,CAREMARK RX INC,2005,5912,,,0,
99990009,CMX,CAREMARK RX INC,2006,5912,,,0,
99990009,CMX,CAREMARK RX INC,2007,5912,,,0,
99990009,CMX,CAREMARK RX INC,2008,5912,,,0,
99990009,CMX,CAREMARK RX INC,2009,5912,,,0,
99990009,CMX,CAREMARK RX INC,2010,5912,,,0,
145552,CNC,CENTENE CORP,2005,6324,1327.75,1.8,0,
145552,CNC,CENTENE CORP,2006,6324,1946.66,2.5999999,0,
145552,CNC,CENTENE CORP,2007,6324,2425,3.0999999,0,
145552,CNC,CENTENE CORP,2008,6324,2690.99,3.5999999,0,
145552,CNC,CENTENE CORP,2009,6324,3293.77,3.9000001,0,
145552,CNC,CENTENE CORP,2010,6324,,4.1999998,0,
183224,CNET,"CNET Networks, Inc.",2005,7370,,,0,
183224,CNET,"CNET Networks, Inc.",2006,7370,,,0,
183224,CNET,"CNET Networks, Inc.",2007,7370,,,0,
183224,CNET,"CNET Networks, Inc.",2008,7370,,,1,Stolen computer
183224,CNET,"CNET Networks, Inc.",2009,7370,30.280001,0.22400001,0,
183224,CNET,"CNET Networks, Inc.",2010,7370,,0.29499999,0,
116787,CNQR,"Concur Technologies, Inc.",2005,7372,63.330002,0.39500001,0,
116787,CNQR,"Concur Technologies, Inc.",2006,7372,82.980003,0.5,0,
116787,CNQR,"Concur Technologies, Inc.",2007,7372,107.25,0.57499999,0,
116787,CNQR,"Concur Technologies, Inc.",2008,7372,172.35001,0.93199998,0,
116787,CNQR,"Concur Technologies, Inc.",2009,7372,198.77,1.1,0,
116787,CNQR,"Concur Technologies, Inc.",2010,7372,,1.2,1,Stolen computer
30990,COF,Capital One Financial Corporation,2005,6141,10636.53,21,0,
30990,COF,Capital One Financial Corporation,2006,6141,12968.69,31.799999,0,
30990,COF,Capital One Financial Corporation,2007,6141,15783.9,27,0,
30990,COF,Capital One Financial Corporation,2008,6141,14116.78,25.799999,0,
30990,COF,Capital One Financial Corporation,2009,6141,12752.62,30.9,0,
30990,COF,Capital One Financial Corporation,2010,6141,,27.826,1,FraudSe
144066,COL,ROCKWELL COLLINS INC,2005,3728,3040.1699,17.1,0,
144066,COL,ROCKWELL COLLINS INC,2006,3728,3303.9199,18.6,0,
144066,COL,ROCKWELL COLLINS INC,2007,3728,3672.4399,19.5,0,
144066,COL,ROCKWELL COLLINS INC,2008,3728,3823.1101,20.299999,0,
144066,COL,ROCKWELL COLLINS INC,2009,3728,3594.1201,19.299999,0,
144066,COL,ROCKWELL COLLINS INC,2010,3728,,20,0,
29028,COST,COSTCO WHOLESALE CORP,2005,5399,46674.07,110,0,
29028,COST,COSTCO WHOLESALE CORP,2006,5399,51379.172,127,0,
29028,COST,COSTCO WHOLESALE CORP,2007,5399,53918.531,136,0,
29028,COST,COSTCO WHOLESALE CORP,2008,5399,57972.949,137,0,
29028,COST,COSTCO WHOLESALE CORP,2009,5399,57359.059,142,0,
29028,COST,COSTCO WHOLESALE CORP,2010,5399,77946,147,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2005,5812,422.87,12.9,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2006,5812,473.72,13.9,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2007,5812,525.71997,14.8,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2008,5812,541.53003,15.1,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2009,5812,533.60999,14.6,0,
138321,CPKI,"California Pizza Kitchen, Inc.",2010,5812,,14,1,FraudSe
29901,CPRT,"Copart, Inc.",2005,5010,403.04001,2.421,0,
29901,CPRT,"Copart, Inc.",2006,5010,451.48999,2.1329999,1,Hack
29901,CPRT,"Copart, Inc.",2007,5010,465.75,2.536,0,
29901,CPRT,"Copart, Inc.",2008,5010,628.45001,2.9749999,0,
29901,CPRT,"Copart, Inc.",2009,5010,596.53998,2.7130001,0,
29901,CPRT,"Copart, Inc.",2010,5010,,2.8340001,0,
99990012,CPS,"ChoicePoint, Inc.",2005,6411,1013.75,,1,FraudSe
99990012,CPS,"ChoicePoint, Inc.",2006,6411,1054.99,,0,
99990012,CPS,"ChoicePoint, Inc.",2007,6411,981.95502,,0,
99990012,CPS,"ChoicePoint, Inc.",2008,6411,,,0,
99990012,CPS,"ChoicePoint, Inc.",2009,6411,7869.7998,,1,Hack
99990012,CPS,"ChoicePoint, Inc.",2010,6411,7849.1001,,0,
3581,CRD.B,CRAWFORD & CO,2005,6411,753.66998,7.5250001,0,
3581,CRD.B,CRAWFORD & CO,2006,6411,769.07001,9.2799997,0,
3581,CRD.B,CRAWFORD & CO,2007,6411,873.28003,8.967,0,
3581,CRD.B,CRAWFORD & CO,2008,6411,908.52002,9.3920002,0,
3581,CRD.B,CRAWFORD & CO,2009,6411,841.48999,8.8520002,0,
3581,CRD.B,CRAWFORD & CO,2010,6411,1110.8,8.6780005,0,
28838,CS,CREDIT SUISSE GROUP,2005,6211,60062.68,63.522999,0,
28838,CS,CREDIT SUISSE GROUP,2006,6211,57596.738,44.870998,0,
28838,CS,CREDIT SUISSE GROUP,2007,6211,69046.211,48.099998,0,
28838,CS,CREDIT SUISSE GROUP,2008,6211,36534.559,47.799999,0,
28838,CS,CREDIT SUISSE GROUP,2009,6211,39970.129,47.599998,0,
28838,CS,CREDIT SUISSE GROUP,2010,6211,,50.099998,0,
3336,CSC,COMPUTER SCIENCES CORP,2005,7370,12886.87,79,0,
3336,CSC,COMPUTER SCIENCES CORP,2006,7370,12688.56,79,0,
3336,CSC,COMPUTER SCIENCES CORP,2007,7370,13705.81,89,0,
3336,CSC,COMPUTER SCIENCES CORP,2008,7370,16500,92,0,
3336,CSC,COMPUTER SCIENCES CORP,2009,7370,16700,94,0,
3336,CSC,COMPUTER SCIENCES CORP,2010,7370,16100,91,0,
20779,CSCO,"Cisco Systems, Inc.",2005,3576,21867.551,38.412998,0,
20779,CSCO,"Cisco Systems, Inc.",2006,3576,24330.08,49.925999,0,
20779,CSCO,"Cisco Systems, Inc.",2007,3576,29009.01,61.535,0,
20779,CSCO,"Cisco Systems, Inc.",2008,3576,31624.65,66.128998,0,
20779,CSCO,"Cisco Systems, Inc.",2009,3576,28994.631,65.550003,0,
20779,CSCO,"Cisco Systems, Inc.",2010,3576,,70.699997,1,Hack
2845,CTX.,CENTEX CORP,2005,1531,12696.48,16.344,0,
2845,CTX.,CENTEX CORP,2006,1531,10262.44,11.418,0,
2845,CTX.,CENTEX CORP,2007,1531,6874.3398,6.5300002,0,
2845,CTX.,CENTEX CORP,2008,1531,3060.51,2.4630001,0,
2845,CTX.,CENTEX CORP,2009,1531,,,0,
2845,CTX.,CENTEX CORP,2010,1531,,,0,
61676,CTXS,CITRIX SYSTEMS INC,2005,7372,801.23999,3.171,0,
61676,CTXS,CITRIX SYSTEMS INC,2006,7372,968.90002,3.7420001,0,
61676,CTXS,CITRIX SYSTEMS INC,2007,7372,1156.26,4.6199999,0,
61676,CTXS,CITRIX SYSTEMS INC,2008,7372,1266.39,5.04,0,
61676,CTXS,CITRIX SYSTEMS INC,2009,7372,1295.79,4.816,0,
61676,CTXS,CITRIX SYSTEMS INC,2010,7372,,5.6370001,0,
12485,CVC,Cablevision Systems Corporation,2005,4841,4563.71,20.424999,0,
12485,CVC,Cablevision Systems Corporation,2006,4841,5063.04,16.218,1,LostTape
12485,CVC,Cablevision Systems Corporation,2007,4841,5386.5298,16.705,0,
12485,CVC,Cablevision Systems Corporation,2008,4841,5782.75,20.105,0,
12485,CVC,Cablevision Systems Corporation,2009,4841,6240.3599,20.465,0,
12485,CVC,Cablevision Systems Corporation,2010,4841,,18.138,0,
7241,CVS,CVS Corporation,2005,5912,32629.119,148,0,
7241,CVS,CVS Corporation,2006,5912,37424.289,176,0,
7241,CVS,CVS Corporation,2007,5912,63405.398,200,0,
7241,CVS,CVS Corporation,2008,5912,69961.273,215,0,
7241,CVS,CVS Corporation,2009,5912,79259.367,211,0,
7241,CVS,CVS Corporation,2010,5912,,201,0,
2991,CVX,Chevron Corporation,2005,2911,163049.5,59,0,
2991,CVX,Chevron Corporation,2006,2911,166853.77,62.5,1,StolenLaptop
2991,CVX,Chevron Corporation,2007,2911,169433.83,65,0,
2991,CVX,Chevron Corporation,2008,2911,204042.19,67,0,
2991,CVX,Chevron Corporation,2009,2911,127879.98,64,0,
2991,CVX,Chevron Corporation,2010,2911,204928,62,0,
4029,D,"Dominion Resources, Inc.",2005,4911,15907.12,17.4,0,
4029,D,"Dominion Resources, Inc.",2006,4911,14078.37,17.5,1,StolenLaptop
4029,D,"Dominion Resources, Inc.",2007,4911,13020.08,17,0,
4029,D,"Dominion Resources, Inc.",2008,4911,13028.97,18,0,
4029,D,"Dominion Resources, Inc.",2009,4911,12147.12,17.9,0,
4029,D,"Dominion Resources, Inc.",2010,4911,,15.8,0,
17452,DANOY,DANONE,2005,2000,13598.79,88.183998,0,
17452,DANOY,DANONE,2006,2000,15863.7,88.124001,0,
17452,DANOY,DANONE,2007,2000,15497.83,76.043999,0,
17452,DANOY,DANONE,2008,2000,16943.84,80.142998,0,
17452,DANOY,DANONE,2009,2000,17237.82,80.975998,0,
17452,DANOY,DANONE,2010,2000,,100.995,0,
63169,DASTY,DASSAULT SYSTEMS SA,2005,7372,975.76001,5.6929998,0,
63169,DASTY,DASSAULT SYSTEMS SA,2006,7372,1305.12,6.8400002,0,
63169,DASTY,DASSAULT SYSTEMS SA,2007,7372,1527.04,6.362,0,
63169,DASTY,DASSAULT SYSTEMS SA,2008,7372,1485.96,7.875,0,
63169,DASTY,DASSAULT SYSTEMS SA,2009,7372,1439.76,7.4590001,0,
63169,DASTY,DASSAULT SYSTEMS SA,2010,7372,,9.0349998,0,
3946,DBD,"Diebold, Inc.",2005,3578,2281.05,14.603,0,
3946,DBD,"Diebold, Inc.",2006,3578,2482.4099,15.451,1,Stolen Laptop
3946,DBD,"Diebold, Inc.",2007,3578,2462.8301,16.941999,0,
3946,DBD,"Diebold, Inc.",2008,3578,2535.47,16.658001,0,
3946,DBD,"Diebold, Inc.",2009,3578,2182.24,16.396999,0,
3946,DBD,"Diebold, Inc.",2010,3578,,16.124001,0,
17828,DDAIF,DAIMLER AG,2005,3711,156386.11,382.724,0,
17828,DDAIF,DAIMLER AG,2006,3711,170908.19,365.75299,0,
17828,DDAIF,DAIMLER AG,2007,3711,120575.18,272.38199,0,
17828,DDAIF,DAIMLER AG,2008,3711,106731.7,273.216,0,
17828,DDAIF,DAIMLER AG,2009,3711,90807.5,256.40701,0,
17828,DDAIF,DAIMLER AG,2010,3711,,260.10001,0,
3824,DEBS,"Deb Shops, Inc.",2005,5621,286.53,3.5,0,
3824,DEBS,"Deb Shops, Inc.",2006,5621,277.38,3.5,1,Hack
3824,DEBS,"Deb Shops, Inc.",2007,5621,,,0,
3824,DEBS,"Deb Shops, Inc.",2008,5621,,,0,
3824,DEBS,"Deb Shops, Inc.",2009,5621,,,0,
3824,DEBS,"Deb Shops, Inc.",2010,5621,,,0,
4016,DG,DOLLAR GENERAL CORP,2005,5331,7567.1299,64.5,0,
4016,DG,DOLLAR GENERAL CORP,2006,5331,7832.5601,69.5,0,
4016,DG,DOLLAR GENERAL CORP,2007,5331,7887.5098,71.5,0,
4016,DG,DOLLAR GENERAL CORP,2008,5331,8364.1904,72.5,0,
4016,DG,DOLLAR GENERAL CORP,2009,5331,9470.0996,79.800003,0,
4016,DG,DOLLAR GENERAL CORP,2010,5331,,85.900002,0,
99990031,DHI,D R HORTON INC,2005,1531,,,0,
99990031,DHI,D R HORTON INC,2006,1531,,,0,
99990031,DHI,D R HORTON INC,2007,1531,,,0,
99990031,DHI,D R HORTON INC,2008,1531,,,0,
99990031,DHI,D R HORTON INC,2009,1531,,,0,
99990031,DHI,D R HORTON INC,2010,1531,,,0,
3980,DIS,"Disney, Walt Company (The)",2005,4833,28165.68,133,0,
3980,DIS,"Disney, Walt Company (The)",2006,4833,29285.1,133,1,StolenLaptop
3980,DIS,"Disney, Walt Company (The)",2007,4833,29497.449,137,1,StolenLaptop
3980,DIS,"Disney, Walt Company (The)",2008,4833,30267.369,150,0,
3980,DIS,"Disney, Walt Company (The)",2009,4888,29020.32,144,0,
3980,DIS,"Disney, Walt Company (The)",2010,4888,,149,0,
60900,DISH,DISH NETWORK CORP,2005,4841,7428.9399,21,0,
60900,DISH,DISH NETWORK CORP,2006,4841,8386.6201,21,0,
60900,DISH,DISH NETWORK CORP,2007,4841,9212.5498,23,0,
